,PlaybackIndex,is_progressive,is_medium,is_total,is_slow,is_static,is_proximal_droplet,is_distal_droplet,is_earlytrack,is_hyperactive_mouse,is_rapid,is_motile,is_bent_tail,fid,experiment_media,VAP,VSL,ALH,LIN,BCF,VCL,WOB,STR,MAD,cluster_id,P_cluster_0,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,subtype_label,P_rapid_progressive,P_immotile,P_nonprogressive,P_progressive,P_erratic,tsne_1,tsne_2,P_0,P_1,P_2,P_3,P_4,drug_cluster,P_axis_byls,E_axis_byls,progressivity_res,erraticity_res,entropy,umap_1,umap_2
10,11,1,0,1,0,0,0,0,0,0,1,1,0,10,5,119.59,110.81,8.97,56.13,36.11,197.42,60.58,92.66,81.3781040566861,3,2.3562690039401e-08,0.0,4.348268388923308e-11,0.9999999763938273,6.849092005832512e-53,progressive,2.3562690039401e-08,0.0,4.348268388923308e-11,0.9999999763938273,6.849092005832512e-53,18.579983,-23.488886,9.974908125790413e-11,0.0,5.186924410394165e-06,1.4913301979699247e-08,6.913180580439042e-50,6,0.9817034426273952,0.16550732249208866,0.9999999999565173,0.0,1.0789325310986574e-09,12.965821,5.8729954
11,12,0,0,1,0,0,0,0,1,1,1,1,0,11,5,81.68,52.07,11.86,19.04,38.47,273.42,29.87,63.75,94.26379869174305,0,0.8759086608642007,0.0,6.646488058199968e-16,3.306208887147118e-148,0.12409133913579878,rapid_progressive,0.8759086608642007,0.0,6.646488058199968e-16,3.306208887147118e-148,0.12409133913579878,10.647622,21.90017,0.032926939559387254,0.0,3.5156033680679204e-229,9.748814880305878e-07,0.9670720855590116,4,0.7790934559643476,0.44915147338755645,0.8759086608642007,0.0239429482829302,-8.467932203592007e-13,7.1247725,5.937937
12,13,1,0,1,0,0,0,0,1,1,1,1,0,12,5,119.68,96.37,11.31,29.89,26.18,322.44,37.12,80.52,96.79810491163116,0,1.0,0.0,1.1308193255201339e-17,1.5508696021637468e-28,2.918569688481853e-17,rapid_progressive,1.0,0.0,1.1308193255201339e-17,1.5508696021637468e-28,2.918569688481853e-17,28.865713,10.093452,0.1907752481787435,0.0,3.264480674785156e-142,0.0017598390306846395,0.8074649127905706,4,0.9625744882841221,0.23589046357073762,1.0,0.0,0.5922500013757586,9.006349,7.806226
13,14,1,0,1,0,0,0,0,1,0,1,1,0,13,5,132.14,127.51,8.25,63.46,29.28,200.94,65.76,96.49,67.9653291408931,3,6.8374024699366285e-12,0.0,1.043364135996027e-14,0.9999999999931539,2.3898336893380068e-74,progressive,6.8374024699366285e-12,0.0,1.043364135996027e-14,0.9999999999931539,2.3898336893380068e-74,16.686092,-32.91249,5.633158779931516e-16,0.0,0.006408389513983891,2.2414010858772925e-12,6.959930036694973e-69,6,1.0,0.0840471164162972,0.9999999999999913,0.0,-7.014689362992616e-13,14.086662,6.065969
14,15,1,0,1,0,0,0,0,0,0,1,1,0,14,5,115.76,109.94,6.75,61.53,30.95,178.67,64.79,94.98,80.07923221274697,3,3.644521333330428e-14,0.0,1.2434909489779907e-11,0.99999999998753,1.7681329046913374e-77,progressive,3.644521333330428e-14,0.0,1.2434909489779907e-11,0.99999999998753,1.7681329046913374e-77,11.685321,-29.89198,6.1812901745152104e-21,0.0,0.009421997816123589,4.0228240572555443e-10,8.702303629594951e-83,6,1.0,0.10615398530541473,0.9999999999875664,0.0,3.227201002644942e-10,13.643443,5.276162
15,16,0,0,1,0,0,0,0,1,0,1,1,0,15,5,147.29,41.74,9.43,17.16,18.41,243.19,60.57,28.34,63.65453276700237,4,4.167565051920835e-14,0.0,7.369661174727773e-11,0.0,0.9999999999262617,erratic,4.167565051920835e-14,0.0,7.369661174727773e-11,0.0,0.9999999999262617,-2.260705,24.41935,5.23188323243441e-21,0.0,0.0,1.6331354594330584e-34,0.9999975846731647,4,0.6624263702342565,0.48494341153701426,4.167565051920835e-14,0.10276972905213572,1.7911237370418622e-09,6.8344636,7.0088806
16,17,1,0,1,0,0,0,0,1,0,1,1,0,16,5,106.58,89.65,14.95,40.56,21.37,221.06,48.21,84.12,85.85872473644399,0,0.9996028517816089,0.0,5.037684477022216e-05,0.000346771373620118,3.892712278288528e-16,rapid_progressive,0.9996028517816089,0.0,5.037684477022216e-05,0.000346771373620118,3.892712278288528e-16,18.337553,3.4708652,0.40431183815053395,0.0,8.686222579922042e-28,0.5951320238712935,2.1087140252207198e-10,3,0.8853119248480932,0.2945717275636262,0.9999496231552291,1.1544413890850757e-16,0.38034768190568863,9.741312,6.243055
17,18,1,0,1,0,0,0,0,0,0,1,1,0,17,5,120.37,111.58,10.38,46.95,25.79,237.68,50.64,92.7,82.87776812766522,3,0.013822761284549888,0.0,2.588239927895287e-09,0.98617723612721,5.907641983474439e-29,progressive,0.013822761284549888,0.0,2.588239927895287e-09,0.98617723612721,5.907641983474439e-29,23.338953,-2.8748088,0.00630873796811148,0.0,3.1702224945358727e-21,8.759664521520974e-07,3.1879539775596877e-15,6,0.9727958380922219,0.13323949562042098,0.9999999974117598,0.0,5.447871249746905e-08,10.846524,6.754806
18,19,1,0,1,0,0,0,0,0,0,1,1,0,18,5,118.18,103.02,14.23,38.91,23.93,264.8,44.63,87.17,94.78633954097293,0,0.995665123833007,0.0,3.571735997570016e-07,0.004334518993394894,5.644093934459006e-19,rapid_progressive,0.995665123833007,0.0,3.571735997570016e-07,0.004334518993394894,5.644093934459006e-19,27.22954,4.4316483,0.9891144038685274,0.0,1.8444943695505395e-47,0.010786152550635364,9.943320909168729e-05,0,0.9452426444154607,0.2433767937621401,0.9999996428264019,9.367992871624748e-20,0.0008572362199030181,9.852055,7.333342
19,1,1,0,1,0,0,0,0,0,0,1,1,0,19,5,83.09,68.29,13.85,26.53,20.63,257.41,32.28,82.19,103.8882476877952,0,0.9997237526797792,0.0,4.222256163778438e-10,8.894925048997728e-19,0.00027624689799644615,rapid_progressive,0.9997237526797792,0.0,4.222256163778438e-10,8.894925048997728e-19,0.00027624689799644615,14.015292,21.501904,0.7639619659700946,0.0,7.733431203683456e-89,0.15668877846591905,0.0793492555639861,0,0.848828815119103,0.3098095466381195,0.9997237526797792,7.249772309762607e-05,2.1996089782528906e-05,7.493862,6.2691956
20,2,1,0,1,0,0,0,0,1,0,1,1,0,20,5,103.4,98.14,5.78,62.83,28.26,156.2,66.2,94.91,69.6499114319218,3,2.0794087960193067e-20,0.0,4.202423792038493e-10,0.9999999995797566,4.3094759338714e-99,progressive,2.0794087960193067e-20,0.0,4.202423792038493e-10,0.9999999995797566,4.3094759338714e-99,3.7624092,-30.861141,3.4156333770460565e-32,0.0,0.12192844457719687,3.462786703378652e-12,1.733415310487865e-114,6,0.9806375662879732,0.11608929085943905,0.9999999995797566,0.0,9.491356199973146e-09,14.145747,4.0640497
21,3,1,0,1,0,0,0,0,1,0,1,1,0,21,5,150.41,136.64,10.51,52.73,35.03,259.1,58.05,90.84,82.94814045698497,3,0.001811247538873579,0.0,6.0604061102889614e-15,0.9981887524611197,7.023702570091202e-53,progressive,0.001811247538873579,0.0,6.0604061102889614e-15,0.9981887524611197,7.023702570091202e-53,34.096714,-15.481487,0.0024847744859992776,0.0,9.685181447514819e-17,2.8070016514513485e-16,6.541455750970108e-18,6,1.0,0.12324957848143875,0.9999999999999933,0.0,-8.261493397330801e-13,12.62652,7.668497
22,4,1,0,1,0,0,0,0,0,0,1,1,0,22,5,116.32,108.29,9.91,44.8,26.82,241.71,48.12,93.1,84.81695597540978,3,0.28387856652495164,0.0,3.723725705775506e-08,0.7161213962377921,9.395626018200526e-24,progressive,0.28387856652495164,0.0,3.723725705775506e-08,0.7161213962377921,9.395626018200526e-24,23.217617,-2.1273012,0.2307164919081428,0.0,8.32230441999811e-27,7.305586002372857e-05,1.0597006285567158e-10,6,0.9671569586281337,0.12970329925402022,0.9999999627627438,0.0,9.241183818326902e-07,10.655937,6.7574797
23,5,1,0,1,0,0,0,0,0,0,1,1,0,23,5,124.0,112.88,11.4,49.94,31.98,226.02,54.86,91.03,86.02666676185038,3,0.0006572731998566243,0.0,5.418779507994176e-10,0.9993427262582665,2.5856711964256334e-35,progressive,0.0006572731998566243,0.0,5.418779507994176e-10,0.9993427262582665,2.5856711964256334e-35,25.755203,-13.399943,0.00015389493452455736,0.0,1.492959847235641e-14,6.575246628635306e-08,1.6923914094255867e-23,6,0.9724243156227277,0.1882498277740632,0.9999999994581231,6.212128768047506e-37,1.2108980154112483e-08,11.759258,6.809252
24,6,1,0,1,0,0,0,0,1,0,1,1,0,24,5,126.52,108.84,8.91,56.32,23.27,193.25,65.47,86.02,69.26893187881187,3,1.5602039700810213e-05,0.0,1.3012669070088874e-08,0.9999843849476284,1.178033422255809e-55,progressive,1.5602039700810213e-05,0.0,1.3012669070088874e-08,0.9999843849476284,1.178033422255809e-55,14.493326,-27.868471,1.7278223189641394e-09,0.0,4.8039525120733667e-11,0.00011430256489317963,5.8878349672925325e-55,6,0.9651204588826308,0.14653482417855812,0.9999999869873293,0.0,2.492898434733101e-07,13.376787,5.6934605
