,PlaybackIndex,is_distal_droplet,is_total,is_progressive,is_slow,is_medium,is_proximal_droplet,is_hyperactive_mouse,is_motile,is_static,is_bent_tail,is_rapid,is_earlytrack,fid,VAP,VSL,ALH,LIN,BCF,VCL,WOB,STR,MAD,cluster_id,P_cluster_0,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,subtype_label,P_rapid_progressive,P_immotile,P_nonprogressive,P_progressive,P_erratic,tsne_1,tsne_2,P_axis_byls,E_axis_byls,progressivity_res,erraticity_res,entropy
10,11,0,1,1,0,0,0,0,1,0,0,1,0,10,119.59,110.81,8.97,56.13,36.11,197.42,60.58,92.66,81.3781040566861,3,2.3562690039401e-08,0.0,4.348268388923308e-11,0.9999999763938273,6.849092005832512e-53,progressive,2.3562690039401e-08,0.0,4.348268388923308e-11,0.9999999763938273,6.849092005832512e-53,18.579983,-23.488886,0.9817034426273952,0.16550732249208866,0.9999999999565173,0.0,1.0789325310986574e-09
11,12,0,1,0,0,0,0,1,1,0,0,1,1,11,81.68,52.07,11.86,19.04,38.47,273.42,29.87,63.75,94.26379869174305,0,0.8759086608642007,0.0,6.646488058199968e-16,3.306208887147118e-148,0.12409133913579878,rapid_progressive,0.8759086608642007,0.0,6.646488058199968e-16,3.306208887147118e-148,0.12409133913579878,10.647622,21.90017,0.7790934559643476,0.44915147338755645,0.8759086608642007,0.0239429482829302,-8.467932203592007e-13
12,13,0,1,1,0,0,0,1,1,0,0,1,1,12,119.68,96.37,11.31,29.89,26.18,322.44,37.12,80.52,96.79810491163116,0,1.0,0.0,1.1308193255201339e-17,1.5508696021637468e-28,2.918569688481853e-17,rapid_progressive,1.0,0.0,1.1308193255201339e-17,1.5508696021637468e-28,2.918569688481853e-17,28.865713,10.093452,0.9625744882841221,0.23589046357073762,1.0,0.0,0.5922500013757586
13,14,0,1,1,0,0,0,0,1,0,0,1,1,13,132.14,127.51,8.25,63.46,29.28,200.94,65.76,96.49,67.9653291408931,3,6.8374024699366285e-12,0.0,1.043364135996027e-14,0.9999999999931539,2.3898336893380068e-74,progressive,6.8374024699366285e-12,0.0,1.043364135996027e-14,0.9999999999931539,2.3898336893380068e-74,16.686092,-32.91249,1.0,0.0840471164162972,0.9999999999999913,0.0,-7.014689362992616e-13
14,15,0,1,1,0,0,0,0,1,0,0,1,0,14,115.76,109.94,6.75,61.53,30.95,178.67,64.79,94.98,80.07923221274697,3,3.644521333330428e-14,0.0,1.2434909489779907e-11,0.99999999998753,1.7681329046913374e-77,progressive,3.644521333330428e-14,0.0,1.2434909489779907e-11,0.99999999998753,1.7681329046913374e-77,11.685321,-29.89198,1.0,0.10615398530541473,0.9999999999875664,0.0,3.227201002644942e-10
15,16,0,1,0,0,0,0,0,1,0,0,1,1,15,147.29,41.74,9.43,17.16,18.41,243.19,60.57,28.34,63.65453276700237,4,4.167565051920835e-14,0.0,7.369661174727773e-11,0.0,0.9999999999262617,erratic,4.167565051920835e-14,0.0,7.369661174727773e-11,0.0,0.9999999999262617,-2.260705,24.41935,0.6624263702342565,0.48494341153701426,4.167565051920835e-14,0.10276972905213572,1.7911237370418622e-09
16,17,0,1,1,0,0,0,0,1,0,0,1,1,16,106.58,89.65,14.95,40.56,21.37,221.06,48.21,84.12,85.85872473644399,0,0.9996028517816089,0.0,5.037684477022216e-05,0.000346771373620118,3.892712278288528e-16,rapid_progressive,0.9996028517816089,0.0,5.037684477022216e-05,0.000346771373620118,3.892712278288528e-16,18.337553,3.4708652,0.8853119248480932,0.2945717275636262,0.9999496231552291,1.1544413890850757e-16,0.38034768190568863
17,18,0,1,1,0,0,0,0,1,0,0,1,0,17,120.37,111.58,10.38,46.95,25.79,237.68,50.64,92.7,82.87776812766522,3,0.013822761284549888,0.0,2.588239927895287e-09,0.98617723612721,5.907641983474439e-29,progressive,0.013822761284549888,0.0,2.588239927895287e-09,0.98617723612721,5.907641983474439e-29,23.338953,-2.8748088,0.9727958380922219,0.13323949562042098,0.9999999974117598,0.0,5.447871249746905e-08
18,19,0,1,1,0,0,0,0,1,0,0,1,0,18,118.18,103.02,14.23,38.91,23.93,264.8,44.63,87.17,94.78633954097293,0,0.995665123833007,0.0,3.571735997570016e-07,0.004334518993394894,5.644093934459006e-19,rapid_progressive,0.995665123833007,0.0,3.571735997570016e-07,0.004334518993394894,5.644093934459006e-19,27.22954,4.4316483,0.9452426444154607,0.2433767937621401,0.9999996428264019,9.367992871624748e-20,0.0008572362199030181
19,1,0,1,1,0,0,0,0,1,0,0,1,0,19,83.09,68.29,13.85,26.53,20.63,257.41,32.28,82.19,103.8882476877952,0,0.9997237526797792,0.0,4.222256163778438e-10,8.894925048997728e-19,0.00027624689799644615,rapid_progressive,0.9997237526797792,0.0,4.222256163778438e-10,8.894925048997728e-19,0.00027624689799644615,14.015292,21.501904,0.848828815119103,0.3098095466381195,0.9997237526797792,7.249772309762607e-05,2.1996089782528906e-05
20,2,0,1,1,0,0,0,0,1,0,0,1,1,20,103.4,98.14,5.78,62.83,28.26,156.2,66.2,94.91,69.6499114319218,3,2.0794087960193067e-20,0.0,4.202423792038493e-10,0.9999999995797566,4.3094759338714e-99,progressive,2.0794087960193067e-20,0.0,4.202423792038493e-10,0.9999999995797566,4.3094759338714e-99,3.7624092,-30.861141,0.9806375662879732,0.11608929085943905,0.9999999995797566,0.0,9.491356199973146e-09
21,3,0,1,1,0,0,0,0,1,0,0,1,1,21,150.41,136.64,10.51,52.73,35.03,259.1,58.05,90.84,82.94814045698497,3,0.001811247538873579,0.0,6.0604061102889614e-15,0.9981887524611197,7.023702570091202e-53,progressive,0.001811247538873579,0.0,6.0604061102889614e-15,0.9981887524611197,7.023702570091202e-53,34.096714,-15.481487,1.0,0.12324957848143875,0.9999999999999933,0.0,-8.261493397330801e-13
22,4,0,1,1,0,0,0,0,1,0,0,1,0,22,116.32,108.29,9.91,44.8,26.82,241.71,48.12,93.1,84.81695597540978,3,0.28387856652495164,0.0,3.723725705775506e-08,0.7161213962377921,9.395626018200526e-24,progressive,0.28387856652495164,0.0,3.723725705775506e-08,0.7161213962377921,9.395626018200526e-24,23.217617,-2.1273012,0.9671569586281337,0.12970329925402022,0.9999999627627438,0.0,9.241183818326902e-07
23,5,0,1,1,0,0,0,0,1,0,0,1,0,23,124.0,112.88,11.4,49.94,31.98,226.02,54.86,91.03,86.02666676185038,3,0.0006572731998566243,0.0,5.418779507994176e-10,0.9993427262582665,2.5856711964256334e-35,progressive,0.0006572731998566243,0.0,5.418779507994176e-10,0.9993427262582665,2.5856711964256334e-35,25.755203,-13.399943,0.9724243156227277,0.1882498277740632,0.9999999994581231,6.212128768047506e-37,1.2108980154112483e-08
24,6,0,1,1,0,0,0,0,1,0,0,1,1,24,126.52,108.84,8.91,56.32,23.27,193.25,65.47,86.02,69.26893187881187,3,1.5602039700810213e-05,0.0,1.3012669070088874e-08,0.9999843849476284,1.178033422255809e-55,progressive,1.5602039700810213e-05,0.0,1.3012669070088874e-08,0.9999843849476284,1.178033422255809e-55,14.493326,-27.868471,0.9651204588826308,0.14653482417855812,0.9999999869873293,0.0,2.492898434733101e-07
